식별자,요구사항명,설명,우선순위,구현 방안
USER-001,회원 가입 기능,신규 사용자가 계정을 생성할수 있어야한다,상,"필수 입력 필드(이름, 이메일, 비밀번호), 중복 확인 기능"
USER-002,로그인 기능,등록된 사용자가 이메일과 비밀번호로 로그인할 수 있어야 한다.,상,"프론트엔드: React에서 로그인 폼과 상태 관리를 구현하고, API 호출로 로그인 요청을 수행합니다.백엔드: JWT 또는 세션 기반 인증으로 로그인 처리를 구현합니다.알림 기능: 로그인 실패 시 alert 또는 커스텀 알림 컴포넌트로 오류 메시지 표시."
USER-003,"소셜 로그인 기능 ","Google, Facebook, 또는 다른 소셜 계정을 통해 로그인할 수 있어야 합니다.",중,프론트엔드: React에서 소셜 로그인 버튼 및 OAuth 인증 흐름을 구현합니다.백엔드: 소셜 로그인 API로 인증 토큰을 검증하고 사용자 정보를 저장합니다
USER-004,로그인 유지 기능,로그인 후 브라우저를 닫아도 (일정시간동안) 로그인 상태가 유지되어야 합니다.,상,프론트엔드: JWT 토큰 또는 세션 정보를 localStorage나 쿠키에 저장합니다.백엔드: 토큰이나 세션의 유효 기간을 설정하고 검증합니다.
BOARD-001,게시글 작성,사용자가 게시글을 작성하고 등록할 수 있어야 한다.,상,"제목, 내용 입력 필드, 등록 버튼"
BOARD-002,게시글 수정,사용자가 게시글을 수정할 수 있어야 한다.,상,"수정 버튼, 수정 후 저장"
BOARD-003,게시글 삭제,사용자가 게시글을 삭제할 수 있어야 한다.,상,"삭제 버튼, 삭제 확인 팝업"
BOARD-004,게시글 목록 조회,게시글 목록을 볼 수 있어야 한다.,상,"게시글 리스트, 페이징 기능"
COUPON-001,쿠폰 등록,사용자가 새로운 쿠폰을 등록할 수 있어야 한다.,상,"쿠폰 이름, 설명, 만료일 입력 필드, 이미지 업로드 기능"
COUPON-002,카테고리 생성,쿠폰을 분류할 카테고리를 생성할 수 있어야 한다.,중,"카테고리 이름 입력 필드, 저장 기능"
COUPON-003,쿠폰 카테고리 이동,쿠폰을 원하는 카테고리로 이동할 수 있어야 한다.,중,"드래그 앤 드롭 기능, 카테고리 선택 후 이동 버튼"
COUPON-004,쿠폰 리스트 조회,등록된 쿠폰 목록을 조회할 수 있어야 한다.,상,"쿠폰 리스트, 이미지 및 상세정보 표시"
COUPON-005,쿠폰 상세보기,쿠폰의 상세 정보를 확인할 수 있어야 한다.,상,"쿠폰 이미지, 설명, 만료일 표시, 바코드, 사용완료 확인 버튼, 스토어, 상세, 유효일자, 카테고리 지정, 닫기 버튼"
COUPON-006,정렬 기능,"쿠폰을 만료일, 카테고리별로 정렬할 수 있어야 한다.",중,"정렬 옵션 제공 (만료일 오름차순/내림차순, 카테고리별)"
COUPON-007,체크 기능,완료된 쿠폰을 체크하여 완료 상태로 표시할 수 있어야 한다.,중,"체크박스 기능, 완료 상태 시 스타일 변경"
COUPON-008,사용/잔여 금액 확인,쿠폰 사용 시 금액이 차감되며 잔여 금액을 확인할 수 있어야 한다.,중,"사용 금액 입력, 잔여 금액 자동 계산 및 표시"
COUPON-009,쿠폰 공유,쿠폰을 다른 사용자와 공유할 수 있어야 한다.,하,"공유 버튼, 링크 복사 기능 또는 이메일, 문자메시지 전송"
COUPON-010,기간 연장,"쿠폰의 기간을 연장할 수 있어야 한다. ",하,기간 연장 (한번에 여러개도 가능하게)
